time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,AvoidObject1.x,AvoidObject1.y,AvoidObject1.z,AvoidObject2.x,AvoidObject2.y,AvoidObject2.z,AvoidObject3.x,AvoidObject3.y,AvoidObject3.z,
638549104268324178,1319634,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.27524,6.715014,18.74097,32.22718,19.68573,18.74097,14.11553,15.6616,18.74097,
638549104268429304,1319645,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.25631,6.702643,18.70644,32.16781,19.64946,18.70644,14.08953,15.63275,18.70644,
638549104268539314,1319656,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.2376,6.690416,18.67232,32.10913,19.61362,18.67232,14.06382,15.60423,18.67232,
638549104268659297,1319667,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.21943,6.678537,18.63916,32.05212,19.57879,18.63916,14.03885,15.57653,18.63916,
638549104268774388,1319679,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.20098,6.666482,18.60552,31.99427,19.54345,18.60552,14.01351,15.54841,18.60552,
638549104268884393,1319690,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.18208,6.654134,18.57106,31.93501,19.50725,18.57106,13.98755,15.51961,18.57106,
638549104268994390,1319701,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.16383,6.642208,18.53777,31.87777,19.47229,18.53777,13.96248,15.4918,18.53777,
638549104269114382,1319713,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.14497,6.629881,18.50337,31.81861,19.43615,18.50337,13.93657,15.46305,18.50337,
638549104269214383,1319724,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.12601,6.617486,18.46877,31.75912,19.39981,18.46877,13.91052,15.43414,18.46877,
638549104269334388,1319735,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.10827,6.605893,18.43642,31.70349,19.36583,18.43642,13.88615,15.4071,18.43642,
638549104269449511,1319747,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.08947,6.593606,18.40213,31.64452,19.32981,18.40213,13.86032,15.37844,18.40213,
638549104269559516,1319758,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.07028,6.581067,18.36713,31.58434,19.29305,18.36713,13.83396,15.3492,18.36713,
638549104269674610,1319769,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.05216,6.569225,18.33409,31.52751,19.25834,18.33409,13.80907,15.32158,18.33409,
638549104269784595,1319780,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.03386,6.55727,18.30072,31.47013,19.22329,18.30072,13.78394,15.2937,18.30072,
638549104269899671,1319792,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,10.01544,6.54523,18.26712,31.41235,19.18799,18.26712,13.75863,15.26562,18.26712,
638549104270004772,1319802,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,9.996431,6.532807,18.23244,31.35273,19.15157,18.23244,13.73252,15.23664,18.23244,
638549104270114776,1319814,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,9.979158,6.521519,18.20094,31.29855,19.11848,18.20094,13.70879,15.21032,18.20094,
638549104270224774,1319824,22.79336,-10.06877,16.10336,-11.93975,-2.947259,12.63627,-29.76421,-4.90003,19.16763,9.960409,6.509266,18.16674,31.23974,19.08256,18.16674,13.68303,15.18174,18.16674,
