time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638524921597396533,183591,-7.210474,29.14912,18.49791,3.994212,-5.68023,16.77228,2.913302,-20.86882,16.77228,
638524921597506538,183603,-7.197689,29.09744,18.46511,3.986402,-5.669122,16.73948,2.907605,-20.82801,16.73948,
638524921597616535,183613,-7.184471,29.044,18.4312,3.978326,-5.657638,16.70558,2.901716,-20.78582,16.70558,
638524921597776530,183629,-7.171714,28.99243,18.39847,3.970533,-5.646554,16.67285,2.896031,-20.7451,16.67285,
638524921597836539,183636,-7.153558,28.91903,18.35189,3.95944,-5.630779,16.62627,2.88794,-20.68714,16.62627,
638524921597946538,183647,-7.145547,28.88665,18.33134,3.954546,-5.623819,16.60572,2.884371,-20.66157,16.60572,
638524921598056534,183658,-7.133084,28.83627,18.29937,3.946932,-5.612991,16.57375,2.878817,-20.62179,16.57375,
638524921598166549,183669,-7.120065,28.78364,18.26597,3.938978,-5.601679,16.54035,2.873016,-20.58023,16.54035,
638524921598276530,183680,-7.107093,28.73119,18.23269,3.931052,-5.590408,16.50707,2.867235,-20.53882,16.50707,
638524921598386533,183691,-7.094145,28.67885,18.19948,3.923142,-5.579159,16.47385,2.861465,-20.4975,16.47385,
638524921598506540,183702,-7.081429,28.62744,18.16685,3.915373,-5.56811,16.44123,2.855799,-20.4569,16.44123,
638524921598616528,183713,-7.068258,28.5742,18.13306,3.907327,-5.556668,16.40744,2.84993,-20.41486,16.40744,
638524921598726535,183724,-7.055377,28.52213,18.10002,3.899457,-5.545476,16.37439,2.84419,-20.37375,16.37439,
638524921598836533,183735,-7.042439,28.46982,18.06682,3.891552,-5.534235,16.3412,2.838424,-20.33245,16.3412,
638524921598946644,183746,-7.029435,28.41725,18.03346,3.883608,-5.522937,16.30784,2.83263,-20.29094,16.30784,
638524921599056631,183757,-7.016335,28.36429,17.99986,3.875604,-5.511555,16.27423,2.826792,-20.24912,16.27423,
638524921599166647,183769,-7.003446,28.31219,17.96679,3.86773,-5.500357,16.24117,2.821049,-20.20798,16.24117,
638524921599336635,183785,-6.990215,28.2587,17.93285,3.859647,-5.488863,16.20723,2.815153,-20.16575,16.20723,
638524921599386637,183791,-6.971113,28.18148,17.88384,3.847977,-5.472266,16.15822,2.806641,-20.10478,16.15822,
638524921599496634,183801,-6.964194,28.15351,17.86609,3.843749,-5.466254,16.14047,2.803558,-20.08269,16.14047,
638524921599606633,183812,-6.952518,28.10631,17.83614,3.836616,-5.45611,16.11052,2.798355,-20.04542,16.11052,
638524921599716642,183823,-6.939482,28.05361,17.8027,3.828652,-5.444784,16.07707,2.792546,-20.00381,16.07707,
638524921599826638,183834,-6.926466,28.00099,17.7693,3.8207,-5.433475,16.04368,2.786746,-19.96226,16.04368,
638524921599936745,183845,-6.913592,27.94894,17.73628,3.812835,-5.42229,16.01065,2.781009,-19.92117,16.01065,
638524921600046752,183857,-6.900546,27.8962,17.70281,26.32359,32.78744,20,2.775196,-19.87952,15.97719,
638524921600156754,183868,-6.88729,27.84262,17.6688,26.27883,32.73169,19.96599,2.769289,-19.83721,15.94318,
638524921600266746,183879,-6.87439,27.79046,17.63571,26.23527,32.67743,19.9329,2.76354,-19.79603,15.91008,
638524921600386741,183890,-6.861404,27.73797,17.60239,26.19142,32.62282,19.89958,2.757754,-19.75458,15.87677,
638524921600496744,183901,-6.848299,27.68499,17.56877,26.14717,32.5677,19.86596,2.751914,-19.71275,15.84315,
638524921600606751,183912,-6.835496,27.63323,17.53593,26.10394,32.51386,19.83312,2.746209,-19.67188,15.81031,
638524921600716737,183923,-6.822377,27.5802,17.50227,26.05964,32.45869,19.79946,2.740363,-19.63001,15.77665,
638524921600876751,183940,-6.809381,27.52766,17.46893,26.01576,32.40403,19.76612,2.734572,-19.58852,15.74331,
638524921600936748,183945,-6.790717,27.45221,17.42105,25.95274,32.32554,19.71824,2.726255,-19.52895,15.69543,
638524921601046743,183956,-6.783545,27.42321,17.40265,25.92853,32.29538,19.69984,2.723059,-19.50605,15.67703,
638524921601156752,183968,-6.770767,27.37156,17.36987,25.88538,32.24163,19.66706,2.717365,-19.46527,15.64425,
638524921601266751,183979,-6.757561,27.31817,17.33599,25.84079,32.1861,19.63318,2.711481,-19.42311,15.61037,
638524921601376743,183990,-6.744498,27.26536,17.30248,25.79668,32.13116,19.59967,2.70566,-19.38142,15.57686,
638524921601496754,184001,-6.731628,27.21333,17.26946,25.75323,32.07703,19.56665,2.699925,-19.34033,15.54384,
638524921601606739,184012,-6.718677,27.16098,17.23624,25.7095,32.02256,19.53343,2.694154,-19.29899,15.51061,
638524921601716738,184023,-6.705739,27.10868,17.20304,25.66581,31.96815,19.50024,2.688388,-19.25769,15.47742,
638524921601826738,184034,-6.692842,27.05654,17.16996,25.62226,31.91391,19.46715,2.682641,-19.21653,15.44434,
638524921601936845,184045,-6.679768,27.00368,17.13642,25.57812,31.85892,19.43361,2.676815,-19.1748,15.4108,
638524921602046851,184056,-6.666677,26.95076,17.10283,25.53392,31.80387,19.40003,2.670982,-19.13301,15.37721,
638524921602192383,184071,-6.653836,26.89885,17.06989,25.49056,31.74986,19.36708,2.66526,-19.09202,15.34427,
638524921602302388,184082,-6.637253,26.83181,17.02735,25.43456,31.68012,19.32454,2.657871,-19.03909,15.30173,
638524921602492381,184101,-6.624393,26.77982,16.99436,25.39114,31.62603,19.29155,2.65214,-18.99804,15.26873,
638524921602592391,184111,-6.601712,26.68814,16.93617,25.31456,31.53065,19.23337,2.642033,-18.92564,15.21055,
638524921602752390,184127,-6.589591,26.63913,16.90508,25.27363,31.47967,19.20227,2.636632,-18.88695,15.17945,
638524921602812380,184133,-6.571485,26.56594,16.85863,25.21249,31.40352,19.15582,2.628563,-18.82915,15.133,
638524921602918623,184144,-6.563649,26.53426,16.83852,25.18604,31.37056,19.13572,2.625072,-18.80414,15.1129,
638524921603028464,184155,-6.551767,26.48623,16.80804,25.14591,31.32059,19.10523,2.619777,-18.76621,15.08242,
638524921603138466,184166,-6.539049,26.43481,16.77541,25.10297,31.2671,19.07261,2.614109,-18.72562,15.04979,
638524921603248461,184177,-6.526103,26.38247,16.7422,25.05926,31.21265,19.03939,2.608341,-18.6843,15.01658,
638524921603358464,184188,-6.512967,26.32937,16.7085,25.0149,31.15741,19.00569,2.602487,-18.64237,14.98288,
638524921603468461,184199,-6.50007,26.27724,16.67542,24.97136,31.10317,18.97261,2.59674,-18.6012,14.94979,
638524921603588472,184210,-6.487129,26.22492,16.64222,24.92766,31.04874,18.93941,2.590974,-18.55989,14.9166,
638524921603698475,184221,-6.473676,26.17054,16.6077,24.88224,30.99216,18.9049,2.584979,-18.51695,14.88208,
638524921603808462,184232,-6.460979,26.11921,16.57513,24.83937,30.93876,18.87232,2.579321,-18.47642,14.84951,
638524921603958478,184247,-6.448028,26.06685,16.5419,24.79563,30.88429,18.8391,2.57355,-18.43508,14.81628,
638524921604028484,184254,-6.430505,25.99601,16.49695,24.73647,30.8106,18.79414,2.565741,-18.37915,14.77133,
638524921604138465,184266,-6.422276,25.96274,16.47584,24.70868,30.77598,18.77303,2.562074,-18.35288,14.75022,
638524921604248460,184277,-6.409112,25.90953,16.44207,24.66423,30.72062,18.73926,2.556208,-18.31086,14.71645,
638524921604358464,184288,-6.39597,25.8564,16.40835,24.61986,30.66535,18.70554,2.550352,-18.26891,14.68273,
638524921604468466,184299,-6.383137,25.80452,16.37543,24.57652,30.61138,18.67262,2.544633,-18.22795,14.64981,
638524921604588462,184310,-6.370263,25.75247,16.3424,24.53305,30.55724,18.6396,-5.501407,21.38751,20,
638524921604688466,184321,-6.356806,25.69807,16.30788,24.48762,30.50064,18.60507,-5.491911,21.35059,19.96548,
638524921604808469,184332,-6.344269,25.64739,16.27572,24.44529,30.44792,18.57291,-5.483064,21.3162,19.93332,
638524921604918461,184344,-6.331271,25.59485,16.24237,24.4014,30.39325,18.53957,-5.473892,21.28054,19.89997,
638524921605028471,184354,-6.317972,25.54108,16.20826,24.35649,30.33732,18.50545,-5.464507,21.24405,19.86585,
638524921605138462,184366,-6.305357,25.49009,16.17589,24.3139,30.28427,18.47309,-5.455605,21.20945,19.83349,
638524921605248474,184377,-6.292265,25.43716,16.14231,24.26969,30.22921,18.4395,-5.446367,21.17353,19.79991,
638524921605358470,184388,-6.27932,25.38483,16.1091,24.22598,30.17476,18.40629,-5.437231,21.13802,19.7667,
638524921605518480,184403,-6.266178,25.3317,16.07538,24.18161,30.11949,18.37258,-5.427957,21.10196,19.73298,
638524921605578478,184410,-6.248105,25.25864,16.02902,24.12058,30.04348,18.32621,-5.415204,21.05238,19.68661,
638524921605688463,184421,-6.24026,25.22693,16.00889,24.0941,30.01049,18.30609,-5.409668,21.03086,19.66649,
638524921605808465,184432,-6.227387,25.17489,15.97587,24.05063,29.95635,18.27306,-5.400584,20.99555,19.63346,
638524921605919035,184443,-6.214378,25.1223,15.9425,24.0067,29.90164,18.23969,-5.391404,20.95986,19.60009,
638524921606028476,184454,-6.201271,25.06931,15.90887,23.96245,29.84652,18.20606,-5.382154,20.9239,19.56647,
638524921606138462,184466,-6.188435,25.01742,15.87594,23.91911,29.79253,18.17313,-5.373096,20.88869,19.53354,
638524921606248472,184477,-6.17544,24.96489,15.8426,23.87523,29.73788,18.1398,-5.363926,20.85304,19.5002,
638524921606358455,184488,-6.162282,24.91169,15.80885,23.8308,29.68254,18.10604,-5.354641,20.81694,19.46644,
638524921606468460,184499,-6.149348,24.85941,15.77567,23.78712,29.62815,18.07286,-5.345514,20.78146,19.43326,
638524921606588462,184510,-6.136396,24.80704,15.74244,23.74339,29.57368,18.03963,-5.336374,20.74592,19.40004,
638524921606698484,184522,-6.123044,24.75307,15.70818,23.69831,29.51752,18.00538,-5.326952,20.70929,19.36578,
638524921606808461,184533,-6.109708,24.69916,15.67397,23.65328,29.46144,17.97117,-5.317541,20.67271,19.33157,
638524921606928472,184545,-6.096472,24.64565,15.64002,23.60859,29.40577,17.93721,-5.308201,20.6364,19.29762,
638524921607078469,184560,-6.082986,24.59113,15.60542,23.56305,29.34905,17.90261,-5.298684,20.5994,19.26302,
638524921607148469,184566,-6.065158,24.51905,15.55968,23.50285,29.27407,17.85687,-5.286103,20.55049,19.21728,
638524921607268467,184578,-6.056976,24.48598,15.53869,23.47522,29.23966,17.83588,-5.280329,20.52804,19.19629,
638524921607378470,184590,-6.043303,24.43071,15.50361,23.42906,29.18216,17.80081,-5.27068,20.49054,19.16121,
638524921607498464,184601,-6.029825,24.37622,15.46904,23.38355,29.12547,17.76623,-5.261169,20.45356,19.12664,
638524921607608472,184612,-6.016607,24.32278,15.43513,23.33892,29.06988,17.73232,-5.251842,20.4173,19.09273,
638524921607718461,184624,-6.003491,24.26976,15.40148,23.29463,29.01472,17.69867,-5.242586,20.38132,19.05908,
638524921607828463,184635,-5.990359,24.21667,15.36779,23.25029,28.95949,17.66498,-5.233319,20.34529,19.02539,
638524921607938461,184646,-5.977384,24.16422,15.3345,23.20648,28.90492,17.6317,-5.224164,20.30969,18.9921,
638524921608048468,184657,-5.964326,24.11143,15.30101,23.16239,28.85,17.5982,-5.214949,20.27387,18.9586,
638524921608168463,184668,-5.951422,24.05927,15.2679,23.11882,28.79573,17.5651,-5.205843,20.23847,18.9255,
638524921608278471,184679,-5.938407,24.00665,15.23451,23.07487,28.74099,17.53171,-5.196659,20.20276,18.89211,
638524921608388467,184690,-5.925225,23.95336,15.20069,23.03036,28.68555,17.49789,-5.187356,20.1666,18.85829,
