time(100ns),time_stamp(ms),object1.x,object1.y,object1.z,object2.x,object2.y,object2.z,object3.x,object3.y,object3.z,
638520715618876256,233748,-30.3701,-6.242504,17.53488,-30.28801,28.90536,17.53488,17.22141,-17.60626,17.53488,
638520715618986258,233759,-30.31344,-6.230857,17.50216,-30.2315,28.85143,17.50216,17.18927,-17.57342,17.50216,
638520715619096267,233771,-30.25601,-6.219052,17.469,-30.17422,28.79677,17.469,17.15671,-17.54012,17.469,
638520715619206269,233782,-30.19701,-6.206925,17.43494,-30.11538,28.74062,17.43494,17.12325,-17.50592,17.43494,
638520715619316257,233793,-30.1391,-6.195021,17.4015,-30.05762,28.6855,17.4015,17.09041,-17.47234,17.4015,
638520715619436737,233804,-30.08201,-6.183286,17.36854,-30.00069,28.63116,17.36854,17.05804,-17.43925,17.36854,
638520715619546551,233815,-30.02302,-6.171162,17.33448,-29.94186,28.57502,17.33448,17.02459,-17.40505,17.33448,
638520715619646551,233826,-29.96623,-6.159487,17.30169,-29.88522,28.52096,17.30169,16.99238,-17.37213,17.30169,
638520715619766659,233837,-29.91,-6.14793,17.26923,-29.82915,28.46745,17.26923,16.9605,-17.33953,17.26923,
638520715619876650,233849,-29.85143,-6.135892,17.23541,-29.77074,28.41171,17.23541,16.92729,-17.30558,17.23541,
638520715619986653,233859,-29.7908,-6.123428,17.2004,-29.71026,28.35399,17.2004,16.89291,-17.27043,17.2004,
638520715620096661,233871,-29.73648,-6.112263,17.16904,-29.65609,28.30229,17.16904,16.8621,-17.23894,17.16904,
638520715620206655,233882,-29.67788,-6.100218,17.13521,-29.59765,28.24652,17.13521,16.82888,-17.20497,17.13521,
638520715620316651,233893,-29.62057,-6.088438,17.10212,-29.5405,28.19197,17.10212,16.79638,-17.17174,17.10212,
638520715620433404,233904,-29.56184,-6.076366,17.0682,-29.48192,28.13608,17.0682,16.76307,-17.1377,17.0682,
638520715620543313,233915,-29.50496,-6.064675,17.03537,-29.4252,28.08194,17.03537,16.73082,-17.10472,17.03537,
638520715620653317,233926,-29.44668,-6.052696,17.00172,-29.36708,28.02648,17.00172,16.69777,-17.07094,17.00172,
638520715620763321,233938,-29.38906,-6.040852,16.96845,-29.30961,27.97163,16.96845,16.6651,-17.03753,16.96845,
638520715620873318,233948,-29.33125,-6.028969,16.93507,-29.25196,27.91661,16.93507,16.63232,-17.00402,16.93507,
638520715620983311,233959,-29.27467,-6.017339,16.9024,-29.19553,27.86276,16.9024,16.60023,-16.97121,16.9024,
638520715621103314,233971,-29.21728,-6.005543,16.86926,-29.1383,27.80814,16.86926,16.56769,-16.93794,16.86926,
638520715621203311,233982,-29.15664,-5.993078,16.83425,-29.07782,27.75042,16.83425,16.5333,-16.90279,16.83425,
638520715621323311,233993,-29.10079,-5.981599,16.80201,-29.02212,27.69727,16.80201,16.50163,-16.87041,16.80201,
638520715621435034,234004,-29.04318,-5.969757,16.76874,-28.96466,27.64243,16.76874,16.46897,-16.83701,16.76874,
638520715621544975,234015,-28.98457,-5.957709,16.7349,-28.90621,27.58665,16.7349,16.43573,-16.80303,16.7349,
638520715621654966,234026,-28.92711,-5.945899,16.70173,-28.84891,27.53196,16.70173,16.40315,-16.76972,16.70173,
638520715621759235,234037,-28.87039,-5.934239,16.66898,-28.79234,27.47797,16.66898,16.37098,-16.73684,16.66898,
638520715621879238,234049,-28.81235,-5.92231,16.63547,-28.73446,27.42274,16.63547,16.33807,-16.7032,16.63547,
638520715621989231,234060,-28.75379,-5.910273,16.60166,-28.67606,27.367,16.60166,16.30486,-16.66924,16.60166,
638520715622099237,234071,-28.69629,-5.898456,16.56846,-28.61872,27.31228,16.56846,16.27226,-16.63591,16.56846,
638520715622209238,234082,-28.63949,-5.886779,16.53566,-28.56206,27.25821,16.53566,16.24005,-16.60298,16.53566,
638520715622319236,234093,-28.58184,-5.874929,16.50238,-28.50457,27.20334,16.50238,16.20736,-16.56956,16.50238,
638520715622428345,234104,-28.52321,-5.862877,16.46852,-28.4461,27.14754,16.46852,16.17411,-16.53557,16.46852,
638520715622548227,234115,-28.46453,-5.850816,16.43464,-28.38758,27.09169,16.43464,16.14084,-16.50155,16.43464,
