time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203559989476454,540776,43372,-0.1300659,0.2014313,0.9708099,-0.1367188,0.2230682,0.9651489,-0.1166622,0.3325988,0.9358248
638203559989566456,540785,43373,-0.1254883,0.2039032,0.9709015,-0.1286774,0.2214508,0.966629,-0.1289404,0.3401615,0.9314851
638203559989656464,540794,43374,-0.1165009,0.2020416,0.9724121,-0.1168976,0.2168121,0.9691772,-0.1410931,0.3481122,0.9267743
638203559989726517,540801,43374,-0.115097,0.1944427,0.9741211,-0.1151886,0.2085266,0.9712067,-0.1410931,0.3481122,0.9267743
638203559989816522,540810,43375,-0.1024628,0.1957092,0.9752808,-0.1100616,0.2119141,0.9710541,-0.1533133,0.3560362,0.9218098
638203559989896523,540818,43376,-0.08918762,0.1954956,0.9766235,-0.09617615,0.2068329,0.9736328,-0.1648431,0.3640874,0.9166608
638203559989976525,540826,43376,-0.08293152,0.1960602,0.977066,-0.09106445,0.2008362,0.9753723,-0.1648431,0.3640874,0.9166608
638203559990066571,540835,43377,-0.08358765,0.1863251,0.9789124,-0.09042358,0.1917419,0.9772644,-0.1760973,0.3723267,0.9112423
638203559990146573,540843,43378,-0.07208252,0.1800079,0.9810181,-0.08500671,0.1895142,0.9781799,-0.186772,0.3800991,0.9058923
638203559990226570,540851,43379,-0.06178284,0.1847076,0.980835,-0.08325195,0.1876068,0.9786987,-0.1969777,0.3881515,0.900299
638203559990316572,540860,43380,-0.05805969,0.1751251,0.9828186,-0.06500244,0.185791,0.980423,-0.206415,0.3958835,0.8948011
638203559990396752,540868,43380,-0.04794312,0.1770477,0.9830322,-0.06437683,0.1826477,0.9810638,-0.206415,0.3958835,0.8948011
638203559990476664,540876,43381,-0.04998779,0.1693268,0.9842834,-0.0526123,0.1819763,0.9818878,-0.2153483,0.4035292,0.8892634
638203559990566665,540885,43382,-0.04623413,0.178833,0.9827881,-0.05126953,0.1865387,0.9810944,-0.2238011,0.4110276,0.8837247
638203559990646659,540893,43383,-0.03875732,0.174942,0.9838104,-0.03822327,0.1841736,0.9821472,-0.2313319,0.4185154,0.8782542
638203559990726730,540901,43383,-0.04196167,0.1763306,0.983429,-0.04244995,0.1795502,0.9828186,-0.2313319,0.4185154,0.8782542
638203559990816731,540910,43384,-0.02789307,0.1615601,0.9864655,-0.03305054,0.1724854,0.9844513,-0.2384753,0.4260947,0.8726814
638203559990906735,540919,43385,-0.02114868,0.1606598,0.9867706,-0.02383423,0.181076,0.9831696,-0.2447349,0.4332458,0.8674116
638203559990976727,540926,43386,-0.01872253,0.1593781,0.98703,-0.01954651,0.1694946,0.985321,-0.2506055,0.4405058,0.8620623
638203559991068061,540935,43386,-0.009811401,0.154541,0.9879303,-0.01470947,0.1680756,0.9856567,-0.2506055,0.4405058,0.8620623
638203559991148063,540943,43387,-0.005203247,0.1587219,0.9873047,-0.01164246,0.1748047,0.9845276,-0.2561693,0.4473633,0.85688
638203559991228062,540951,43388,-0.004364014,0.1568146,0.9876099,-0.005554199,0.1672668,0.9858856,-0.2615384,0.4542224,0.8516336
638203559991318057,540960,43389,0.002090454,0.1597137,0.9871521,-0.006576538,0.1628571,0.986618,-0.266017,0.4610346,0.8465708
638203559991398058,540968,43389,0.00138855,0.158844,0.9872894,-0.004562378,0.1596222,0.9871521,-0.266017,0.4610346,0.8465708
