time(100ns),time_stamp(ms),frame,gaze_direct_L.x,gaze_direct_L.y,gaze_direct_L.z,gaze_direct_R.x,gaze_direct_R.y,gaze_direct_R.z,forward.x,forward.y,forward.z
638203556930933739,234922,15833,0.01745605,0.1286926,0.9915161,0.008850098,0.1483002,0.9888916,-0.05290374,0.4653123,0.8835642
638203556931013747,234930,15833,0.01846313,0.1292725,0.9914246,0.006256104,0.1385803,0.9903259,-0.05290374,0.4653123,0.8835642
638203556931103744,234939,15834,0.01898193,0.1291504,0.9914398,0.01080322,0.1337128,0.9909515,-0.05584491,0.4720672,0.879792
638203556931183744,234947,15835,0.01766968,0.1307373,0.9912567,0.01443481,0.1271057,0.9917755,-0.05883327,0.4784504,0.8761414
638203556931263747,234955,15836,0.02200317,0.1282654,0.9914856,0.01292419,0.1253662,0.9920197,-0.06160025,0.4847642,0.8724729
638203556931353747,234964,15836,0.02134705,0.1196289,0.9925842,0.01623535,0.1272125,0.9917297,-0.06160025,0.4847642,0.8724729
638203556931433743,234972,15837,0.02149963,0.1175995,0.9928131,0.01741028,0.1208649,0.9925079,-0.06439098,0.4911283,0.8687041
638203556931513881,234980,15838,0.02565002,0.1211853,0.9922943,0.01870728,0.1147156,0.9932098,-0.06733267,0.4976262,0.8647742
638203556931603855,234989,15839,0.0302887,0.1188812,0.9924316,0.01953125,0.1146851,0.9931946,-0.07010893,0.5042994,0.8606782
638203556931683854,234997,15839,0.02523804,0.1132507,0.9932404,0.02853394,0.1013947,0.9944305,-0.07010893,0.5042994,0.8606782
638203556931763853,235005,15840,0.02780151,0.1134338,0.9931488,0.0353241,0.1007996,0.994278,-0.07279571,0.5108634,0.8565742
638203556931853852,235014,15841,0.02900696,0.1061554,0.9939117,0.04118347,0.1068573,0.9934082,-0.07552906,0.5174817,0.8523545
638203556931933849,235022,15842,0.03120422,0.1048737,0.993988,0.03822327,0.1065674,0.9935608,-0.07821975,0.5237874,0.8482502
638203556932013849,235030,15842,0.03063965,0.0995636,0.9945526,0.04000854,0.1066742,0.9934845,-0.07821975,0.5237874,0.8482502
